num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
3,Internet,OneWay,181,19,20,W,JFKDXB,UAE,1,0,1,14.69,1
3,Internet,RoundTrip,86,7,14,S,LTNPRG,USA,1,1,0,6.81,1
3,Internet,RoundTrip,134,12,1,S,JFKDXB,USA,0,1,0,3.04,1
4,Internet,RoundTrip,343,12,11,T,AUHBOM,UAE,0,0,0,10.11,1
3,Mobile,OneWay,283,9,15,S,AUHBOM,United Kingdom,0,1,1,13.24,1
2,Internet,OneWay,218,17,21,W,JFKDXB,UAE,1,0,1,11.46,1
1,Internet,RoundTrip,268,15,12,S,CDGSYD,USA,0,0,1,11.17,0
3,Mobile,OneWay,309,9,0,F,CDGSYD,USA,0,1,0,14.24,0
4,Internet,RoundTrip,229,7,8,T,LHRBOM,India,0,1,1,14.57,1
3,Internet,OneWay,115,6,22,F,AUHBOM,France,0,1,1,12.71,0
4,Internet,RoundTrip,28,19,11,W,LTNPRG,USA,0,1,0,12.19,1
2,Mobile,RoundTrip,45,3,8,M,AUHBOM,United Kingdom,0,0,0,6.56,0
1,Internet,OneWay,87,4,20,T,LHRBOM,UAE,1,0,1,8.01,1
3,Internet,RoundTrip,280,6,9,M,LTNPRG,India,0,1,0,8.89,0
1,Internet,RoundTrip,35,17,17,T,CDGSYD,United Kingdom,1,0,1,8.23,1
1,Internet,OneWay,47,14,0,S,AUHBOM,UAE,1,0,0,12.49,0
3,Internet,RoundTrip,357,20,13,M,JFKDXB,USA,1,0,1,14.91,0
2,Internet,RoundTrip,146,15,0,F,LHRBOM,France,1,0,1,4.67,0
3,Internet,RoundTrip,47,10,4,T,AUHBOM,United Kingdom,1,0,0,12.25,1
3,Internet,RoundTrip,318,1,12,F,LHRBOM,India,1,1,0,9.94,0
2,Internet,RoundTrip,353,18,14,F,JFKDXB,India,1,0,1,11.45,0
3,Internet,RoundTrip,184,14,2,S,CDGSYD,France,1,0,1,8.51,1
3,Internet,RoundTrip,42,2,11,F,LTNPRG,France,0,0,1,11.05,0
3,Internet,OneWay,229,20,9,T,JFKDXB,France,0,1,0,10.13,0
3,Mobile,RoundTrip,314,13,10,W,AUHBOM,France,1,0,1,10.52,0
2,Mobile,RoundTrip,352,13,18,F,LTNPRG,USA,1,0,0,14.36,0
3,Internet,RoundTrip,210,8,21,W,LHRBOM,UAE,0,0,1,2.6,1
3,Internet,RoundTrip,344,7,1,S,CDGSYD,UAE,1,0,1,5.85,1
1,Mobile,RoundTrip,303,8,22,F,LHRBOM,France,0,1,1,10.38,1
1,Mobile,RoundTrip,59,2,1,F,JFKDXB,USA,0,0,1,6.97,0
1,Mobile,RoundTrip,231,10,21,F,AUHBOM,USA,0,1,0,7.85,1
1,Internet,RoundTrip,243,2,14,W,AUHBOM,UAE,1,0,0,7.55,1
2,Internet,RoundTrip,280,12,16,F,AUHBOM,France,1,1,1,12.12,1
4,Internet,RoundTrip,194,5,5,F,LTNPRG,United Kingdom,1,1,0,2.74,1
4,Mobile,OneWay,267,13,13,S,AUHBOM,France,1,1,1,7.85,1
4,Internet,RoundTrip,213,8,13,W,LHRBOM,UAE,0,1,1,10.67,0
3,Internet,OneWay,95,6,7,F,CDGSYD,United Kingdom,0,0,0,7.32,0
1,Internet,RoundTrip,177,3,11,S,JFKDXB,France,0,0,1,2.84,0
2,Internet,RoundTrip,341,8,21,W,LHRBOM,France,1,0,1,14.35,0
4,Internet,RoundTrip,307,2,2,S,CDGSYD,France,1,1,0,6.93,0
4,Mobile,RoundTrip,235,5,10,W,LHRBOM,United Kingdom,1,0,0,14.22,1
4,Mobile,RoundTrip,118,10,7,M,LHRBOM,India,1,0,0,13.98,1
2,Mobile,RoundTrip,74,13,4,M,JFKDXB,UAE,1,0,1,3.78,1
2,Internet,RoundTrip,104,10,11,T,AUHBOM,UAE,0,1,0,10.29,0
3,Internet,RoundTrip,112,3,2,W,LTNPRG,UAE,1,0,1,5.73,1
1,Internet,RoundTrip,351,15,2,T,JFKDXB,United Kingdom,1,0,0,4.68,0
1,Internet,RoundTrip,195,9,19,S,AUHBOM,India,1,0,1,9.3,1
1,Internet,RoundTrip,143,13,7,S,LHRBOM,United Kingdom,0,1,1,8.97,1
3,Internet,RoundTrip,321,20,7,F,LTNPRG,UAE,0,0,0,13.5,0
1,Internet,RoundTrip,135,1,15,S,LTNPRG,USA,1,0,1,10.8,1
3,Internet,RoundTrip,291,20,17,F,AUHBOM,United Kingdom,0,1,1,11.53,0
2,Internet,RoundTrip,234,20,19,F,AUHBOM,USA,0,1,0,12.28,1
4,Internet,RoundTrip,110,11,14,T,JFKDXB,France,0,0,0,2.88,1
1,Internet,OneWay,350,1,6,M,JFKDXB,France,1,1,1,6.71,0
2,Internet,RoundTrip,251,5,6,F,JFKDXB,USA,1,1,0,9.95,1
1,Internet,RoundTrip,361,5,16,M,AUHBOM,France,1,0,1,12.09,0
2,Mobile,RoundTrip,1,12,19,T,LTNPRG,India,1,1,0,12.48,0
3,Internet,RoundTrip,103,14,21,T,LTNPRG,France,0,0,0,13.33,1
1,Internet,RoundTrip,122,10,19,W,JFKDXB,USA,0,0,1,10.77,0
3,Internet,OneWay,246,8,14,W,AUHBOM,France,0,0,1,3.83,0
4,Internet,RoundTrip,306,1,3,F,LTNPRG,France,0,1,0,5.61,0
1,Mobile,RoundTrip,45,19,9,S,JFKDXB,USA,1,0,1,9.89,1
1,Internet,OneWay,56,20,2,M,LTNPRG,UAE,0,0,0,10.21,0
4,Mobile,RoundTrip,246,1,10,T,JFKDXB,United Kingdom,1,1,0,2.07,1
3,Internet,RoundTrip,129,7,13,W,CDGSYD,UAE,0,1,1,8.45,1
4,Internet,RoundTrip,255,20,15,T,LTNPRG,UAE,0,1,0,14.72,1
3,Internet,RoundTrip,1,8,5,M,LHRBOM,France,1,1,1,2.77,0
3,Mobile,OneWay,191,13,16,T,LTNPRG,United Kingdom,0,1,1,6.79,0
1,Internet,RoundTrip,9,11,7,T,LTNPRG,India,1,0,0,9.63,0
3,Internet,OneWay,347,13,16,S,LHRBOM,France,0,0,1,14.18,1
2,Internet,RoundTrip,54,18,21,W,JFKDXB,UAE,1,0,0,2.97,1
4,Internet,OneWay,65,8,6,W,CDGSYD,India,1,0,0,12.87,0
1,Internet,OneWay,38,16,4,F,LTNPRG,United Kingdom,1,0,0,6.01,1
1,Internet,OneWay,81,10,22,F,LTNPRG,India,0,0,0,5.88,0
3,Internet,OneWay,179,5,10,T,AUHBOM,France,1,1,1,5.54,0
4,Mobile,RoundTrip,225,2,5,W,LHRBOM,USA,0,0,1,13.52,1
4,Mobile,RoundTrip,328,15,6,M,AUHBOM,India,0,0,1,4.15,0
3,Internet,RoundTrip,320,13,10,T,LTNPRG,France,1,1,0,2.95,1
2,Internet,RoundTrip,31,18,8,W,JFKDXB,France,1,1,0,12.35,0
2,Internet,RoundTrip,156,5,20,W,CDGSYD,UAE,0,0,1,13.35,0
4,Internet,RoundTrip,317,15,8,T,JFKDXB,USA,1,1,1,5.34,0
1,Internet,RoundTrip,61,1,10,S,JFKDXB,USA,0,1,0,14.65,0
1,Internet,RoundTrip,244,3,5,S,LTNPRG,India,1,0,0,14.12,0
3,Mobile,OneWay,156,12,16,T,JFKDXB,United Kingdom,0,0,0,3.58,0
2,Mobile,RoundTrip,62,11,17,S,CDGSYD,France,0,0,0,4.02,0
2,Internet,OneWay,23,12,12,W,JFKDXB,United Kingdom,0,1,0,6.93,1
4,Mobile,RoundTrip,106,17,18,F,LTNPRG,UAE,0,0,0,10.74,0
2,Internet,OneWay,1,17,6,S,CDGSYD,UAE,0,1,1,2.1,1
4,Internet,OneWay,71,4,12,F,CDGSYD,USA,0,1,1,9.96,1
1,Internet,RoundTrip,200,5,16,W,LHRBOM,United Kingdom,1,0,1,13.13,0
2,Internet,RoundTrip,288,11,20,S,JFKDXB,India,1,1,1,8.22,1
1,Mobile,OneWay,184,20,7,M,CDGSYD,France,0,1,0,3.04,1
3,Mobile,RoundTrip,264,14,3,W,CDGSYD,France,0,1,0,4.47,1
4,Internet,OneWay,27,3,18,S,LHRBOM,UAE,0,0,0,10.0,0
4,Mobile,OneWay,111,13,11,F,JFKDXB,India,0,0,1,10.02,1
1,Internet,RoundTrip,240,7,1,W,LHRBOM,India,0,1,1,3.89,1
4,Internet,OneWay,20,3,19,W,LTNPRG,UAE,1,0,1,10.12,1
1,Internet,OneWay,213,15,11,W,LTNPRG,France,1,0,0,6.0,0
3,Mobile,OneWay,62,6,14,T,JFKDXB,USA,1,1,1,3.34,0
3,Internet,RoundTrip,153,16,8,T,LHRBOM,United Kingdom,0,1,0,9.22,1
1,Internet,RoundTrip,230,12,22,S,CDGSYD,France,1,0,0,10.89,1
1,Internet,RoundTrip,360,9,9,M,JFKDXB,UAE,1,1,0,5.41,0
1,Mobile,RoundTrip,33,5,13,S,CDGSYD,France,0,1,0,12.09,1
3,Mobile,OneWay,201,6,12,T,JFKDXB,USA,1,1,0,2.83,0
3,Mobile,OneWay,196,7,22,W,LHRBOM,India,0,0,0,5.5,1
1,Mobile,RoundTrip,24,14,14,S,LTNPRG,USA,0,1,0,7.78,1
3,Mobile,RoundTrip,224,9,2,S,JFKDXB,India,0,0,1,8.28,1
4,Internet,RoundTrip,28,1,19,W,LTNPRG,USA,1,0,0,10.03,0
1,Internet,OneWay,251,1,0,T,CDGSYD,United Kingdom,0,0,1,6.07,1
3,Mobile,RoundTrip,76,6,12,T,CDGSYD,USA,0,1,1,4.11,1
2,Internet,RoundTrip,46,11,8,T,LTNPRG,United Kingdom,0,0,0,14.58,1
2,Internet,RoundTrip,27,7,11,W,JFKDXB,USA,0,0,1,3.5,1
2,Internet,RoundTrip,168,20,19,T,CDGSYD,France,1,0,1,2.07,0
2,Mobile,RoundTrip,86,5,2,M,CDGSYD,USA,1,1,1,9.06,1
2,Internet,OneWay,169,9,1,S,CDGSYD,USA,0,1,0,3.99,1
1,Mobile,OneWay,327,8,20,M,CDGSYD,France,1,1,1,10.59,1
2,Internet,RoundTrip,305,6,5,S,LTNPRG,India,1,0,0,10.55,0
3,Internet,RoundTrip,274,18,10,W,CDGSYD,USA,1,1,0,8.54,0
2,Mobile,RoundTrip,171,6,22,F,AUHBOM,India,0,1,0,6.38,1
3,Internet,RoundTrip,41,1,16,M,LHRBOM,India,1,0,1,10.96,1
1,Internet,RoundTrip,149,11,14,W,AUHBOM,United Kingdom,0,0,0,9.7,1
1,Internet,RoundTrip,8,13,0,S,AUHBOM,United Kingdom,1,0,1,5.62,0
4,Mobile,RoundTrip,45,10,9,T,AUHBOM,India,0,1,1,3.49,0
2,Internet,OneWay,110,9,11,T,AUHBOM,UAE,0,0,0,3.72,0
3,Internet,RoundTrip,253,18,1,W,LTNPRG,France,0,0,0,9.43,1
3,Mobile,OneWay,287,8,14,F,JFKDXB,France,0,0,0,7.9,0
1,Mobile,RoundTrip,226,13,17,F,AUHBOM,India,0,1,1,10.79,1
4,Internet,RoundTrip,94,17,8,T,LTNPRG,USA,1,1,1,2.59,1
2,Internet,RoundTrip,261,8,21,S,LTNPRG,India,0,0,1,14.63,0
4,Internet,RoundTrip,363,11,21,T,JFKDXB,UAE,1,0,0,9.24,0
2,Internet,RoundTrip,239,8,17,S,JFKDXB,UAE,0,0,1,4.76,1
2,Internet,OneWay,278,13,7,T,CDGSYD,UAE,1,0,0,4.64,1
3,Internet,OneWay,319,11,2,T,LHRBOM,United Kingdom,0,1,0,13.38,0
1,Internet,RoundTrip,261,18,16,F,CDGSYD,United Kingdom,1,1,1,3.09,0
3,Internet,RoundTrip,320,6,12,W,JFKDXB,UAE,0,1,0,3.4,1
4,Internet,RoundTrip,108,4,16,S,LHRBOM,France,0,1,1,12.16,1
3,Internet,OneWay,112,9,9,T,JFKDXB,United Kingdom,0,1,1,14.32,1
1,Internet,RoundTrip,64,13,3,T,AUHBOM,India,0,1,1,7.73,0
3,Mobile,RoundTrip,67,6,20,W,AUHBOM,India,1,0,1,3.26,0
1,Mobile,OneWay,202,20,22,W,AUHBOM,USA,0,0,0,10.96,0
1,Mobile,OneWay,338,11,17,S,LTNPRG,France,1,0,1,5.54,0
2,Internet,RoundTrip,81,17,0,W,LTNPRG,UAE,0,1,0,14.34,1
2,Internet,RoundTrip,260,11,18,T,LHRBOM,UAE,0,0,0,13.72,1
1,Mobile,RoundTrip,29,8,22,F,CDGSYD,India,0,0,0,13.43,0
1,Internet,RoundTrip,354,17,9,S,AUHBOM,France,1,0,0,2.04,0
4,Internet,RoundTrip,192,4,11,W,CDGSYD,India,1,0,0,14.22,0
2,Internet,OneWay,181,6,0,W,JFKDXB,United Kingdom,0,1,0,10.9,1
1,Internet,RoundTrip,131,16,13,F,JFKDXB,India,1,0,0,2.63,0
2,Mobile,OneWay,351,19,17,F,AUHBOM,India,1,1,0,11.34,1
3,Internet,RoundTrip,153,6,4,M,CDGSYD,France,0,1,0,13.96,0
3,Mobile,OneWay,45,11,14,S,AUHBOM,USA,0,0,0,6.48,1
2,Internet,RoundTrip,206,10,5,W,JFKDXB,USA,1,0,1,10.83,1
1,Internet,RoundTrip,215,15,3,F,JFKDXB,UAE,0,1,1,6.32,1
4,Internet,RoundTrip,272,10,0,M,CDGSYD,USA,0,1,0,10.52,1
3,Internet,RoundTrip,181,13,17,F,LHRBOM,United Kingdom,0,1,1,8.85,1
4,Internet,RoundTrip,102,14,4,M,AUHBOM,United Kingdom,0,0,1,3.68,1
2,Internet,RoundTrip,1,17,3,M,LTNPRG,UAE,0,1,1,2.1,0
1,Mobile,OneWay,360,3,22,S,CDGSYD,India,0,0,0,11.93,0
2,Internet,RoundTrip,71,14,17,M,AUHBOM,United Kingdom,1,1,1,4.88,0
2,Mobile,RoundTrip,128,4,5,S,LHRBOM,India,0,1,1,7.32,1
3,Mobile,RoundTrip,56,1,16,T,LTNPRG,France,0,0,1,13.62,1
3,Internet,RoundTrip,86,15,11,T,LTNPRG,UAE,0,0,0,13.0,0
1,Mobile,RoundTrip,23,8,0,W,LHRBOM,United Kingdom,1,0,0,10.29,1
3,Internet,RoundTrip,124,15,6,M,CDGSYD,UAE,0,0,0,5.6,1
2,Internet,RoundTrip,346,19,17,F,CDGSYD,United Kingdom,0,0,1,3.62,0
3,Mobile,RoundTrip,82,3,16,S,LTNPRG,USA,0,0,1,4.33,1
2,Mobile,RoundTrip,352,10,9,W,CDGSYD,USA,0,0,0,14.34,0
3,Internet,RoundTrip,231,2,22,S,AUHBOM,UAE,0,1,0,10.2,0
3,Internet,RoundTrip,325,17,11,T,CDGSYD,UAE,0,1,0,7.37,0
2,Internet,RoundTrip,226,20,0,S,JFKDXB,UAE,0,0,1,14.28,1
1,Mobile,OneWay,360,18,22,S,LTNPRG,UAE,1,1,0,8.93,0
3,Internet,RoundTrip,201,20,0,M,LHRBOM,USA,0,1,0,7.24,0
4,Internet,RoundTrip,303,7,21,S,CDGSYD,UAE,0,0,1,3.64,0
2,Internet,OneWay,14,6,1,M,AUHBOM,UAE,0,1,1,3.1,0
4,Internet,RoundTrip,340,18,8,S,CDGSYD,France,0,1,0,10.71,1
1,Internet,RoundTrip,7,14,1,F,LHRBOM,USA,1,1,1,2.72,0
4,Mobile,RoundTrip,72,8,16,T,LHRBOM,France,1,0,0,3.07,1
4,Internet,RoundTrip,269,5,7,S,LTNPRG,UAE,0,0,0,14.5,1
2,Internet,RoundTrip,94,1,11,W,CDGSYD,France,0,0,1,9.71,1
1,Internet,OneWay,16,1,4,M,CDGSYD,UAE,1,1,0,13.63,0
3,Mobile,RoundTrip,314,14,18,T,LTNPRG,UAE,1,1,1,4.2,0
4,Mobile,RoundTrip,187,6,10,S,JFKDXB,France,0,1,1,14.35,1
1,Internet,RoundTrip,175,17,7,S,LTNPRG,UAE,0,0,1,11.19,1
3,Internet,RoundTrip,116,17,0,S,AUHBOM,France,0,0,0,6.1,0
4,Internet,RoundTrip,261,10,10,F,LTNPRG,France,1,1,0,13.77,0
1,Internet,RoundTrip,115,6,16,T,LHRBOM,France,1,1,1,3.36,1
3,Mobile,OneWay,205,4,2,S,JFKDXB,France,1,0,1,13.63,1
1,Internet,RoundTrip,48,6,11,T,AUHBOM,France,0,1,1,10.59,0
1,Internet,RoundTrip,112,13,21,S,JFKDXB,UAE,0,0,0,8.61,0
2,Mobile,RoundTrip,11,16,19,M,AUHBOM,India,1,1,1,13.45,0
2,Internet,RoundTrip,104,15,20,T,LTNPRG,India,1,0,0,2.18,1
1,Internet,RoundTrip,139,20,20,T,LTNPRG,UAE,1,0,0,9.23,1
4,Internet,RoundTrip,273,14,6,W,LHRBOM,UAE,0,1,0,8.6,0
1,Internet,RoundTrip,300,11,3,S,LHRBOM,France,0,1,0,4.02,1
4,Internet,RoundTrip,194,8,13,W,CDGSYD,United Kingdom,1,0,0,5.37,0
1,Internet,RoundTrip,337,7,16,F,LHRBOM,United Kingdom,1,0,0,4.39,0
3,Internet,OneWay,131,8,8,T,LHRBOM,India,0,0,1,5.2,1
3,Internet,RoundTrip,180,18,5,S,JFKDXB,USA,1,1,1,11.15,0
2,Internet,RoundTrip,225,11,3,S,AUHBOM,France,0,0,1,14.55,0
2,Internet,RoundTrip,65,5,11,S,LHRBOM,USA,1,0,1,10.45,0
4,Internet,RoundTrip,153,4,1,T,JFKDXB,France,1,0,1,9.18,0
1,Internet,RoundTrip,328,1,15,S,LTNPRG,United Kingdom,1,0,1,8.4,0
4,Internet,RoundTrip,173,17,18,S,LHRBOM,United Kingdom,0,0,1,3.82,0
3,Mobile,RoundTrip,339,5,19,W,LHRBOM,India,0,1,1,11.75,0
4,Mobile,RoundTrip,247,3,6,T,LTNPRG,UAE,1,0,1,13.85,0
2,Internet,RoundTrip,62,6,2,S,AUHBOM,France,0,1,0,6.85,1
2,Internet,RoundTrip,167,10,11,S,CDGSYD,United Kingdom,1,0,1,3.51,0
3,Internet,OneWay,134,20,17,T,JFKDXB,UAE,0,1,1,11.08,0
3,Internet,RoundTrip,346,18,20,T,CDGSYD,UAE,0,0,0,11.7,1
4,Internet,OneWay,123,4,2,F,LTNPRG,India,0,0,1,3.84,0
4,Internet,RoundTrip,177,11,0,T,LTNPRG,UAE,0,0,0,5.14,0
1,Internet,RoundTrip,252,17,3,S,CDGSYD,France,0,0,0,6.42,0
1,Internet,OneWay,351,16,12,F,LTNPRG,United Kingdom,1,1,1,6.21,1
4,Internet,RoundTrip,199,10,3,S,AUHBOM,United Kingdom,0,0,0,5.58,0
2,Internet,OneWay,309,5,21,T,LTNPRG,France,1,0,0,9.62,1
3,Mobile,RoundTrip,43,16,7,S,CDGSYD,India,1,0,0,13.07,1
1,Internet,RoundTrip,325,9,18,S,LHRBOM,France,0,1,0,9.63,0
1,Mobile,OneWay,76,5,7,S,LTNPRG,India,1,0,1,4.09,0
2,Internet,RoundTrip,278,15,5,F,LTNPRG,France,0,1,0,3.84,0
3,Mobile,OneWay,195,18,1,W,LTNPRG,India,0,0,0,14.57,1
4,Mobile,OneWay,221,18,4,T,CDGSYD,USA,1,0,1,2.11,0
4,Mobile,RoundTrip,34,19,17,T,AUHBOM,France,0,0,0,14.15,1
1,Mobile,RoundTrip,194,13,17,W,JFKDXB,USA,0,1,0,8.05,0
1,Mobile,OneWay,32,16,15,T,JFKDXB,UAE,0,1,0,2.07,0
3,Internet,RoundTrip,201,5,1,W,AUHBOM,USA,1,0,0,5.18,0
3,Mobile,RoundTrip,148,7,7,S,LHRBOM,UAE,0,1,0,10.01,1
1,Internet,RoundTrip,74,3,13,W,JFKDXB,USA,0,1,0,4.7,1
2,Internet,RoundTrip,179,2,21,M,LHRBOM,USA,0,0,0,14.0,0
4,Internet,RoundTrip,79,17,5,T,JFKDXB,United Kingdom,1,1,0,2.4,0
1,Mobile,RoundTrip,31,10,4,T,JFKDXB,UAE,1,1,0,6.4,1
4,Internet,RoundTrip,13,12,19,T,AUHBOM,United Kingdom,1,1,1,6.49,0
2,Internet,RoundTrip,125,2,10,T,CDGSYD,United Kingdom,1,1,0,11.12,1
3,Internet,RoundTrip,272,4,8,S,LTNPRG,India,0,1,1,14.82,0
3,Internet,RoundTrip,210,2,8,W,LHRBOM,UAE,1,0,0,14.35,1
3,Internet,RoundTrip,46,10,9,S,AUHBOM,USA,1,1,1,7.45,0
3,Internet,RoundTrip,162,12,11,S,LHRBOM,UAE,0,0,0,10.28,1
1,Internet,RoundTrip,212,3,18,T,LTNPRG,United Kingdom,1,0,0,13.94,0
2,Internet,RoundTrip,86,15,15,F,LHRBOM,United Kingdom,1,1,1,11.75,0
4,Internet,RoundTrip,51,3,2,S,LHRBOM,India,1,1,1,3.97,0
1,Internet,RoundTrip,91,17,3,F,JFKDXB,United Kingdom,0,0,1,13.95,0
3,Internet,RoundTrip,25,19,13,T,AUHBOM,France,0,1,1,7.84,0
3,Internet,RoundTrip,89,13,19,F,LTNPRG,USA,1,1,0,7.51,0
1,Internet,OneWay,195,11,22,T,LTNPRG,United Kingdom,0,0,0,2.88,1
1,Internet,RoundTrip,292,15,20,T,LTNPRG,France,1,1,1,13.17,0
